text,label
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #135.,urgente
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #277.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #158.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #76.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #104.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #13.,normal
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #133.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #47.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #241.,normal
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #132.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #2.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #220.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #242.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #74.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #266.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #147.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #63.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #222.,urgente
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #254.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #224.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #35.,atencao
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #128.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #296.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #173.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #180.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #120.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #102.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #44.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #151.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #62.,atencao
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #127.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #83.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #93.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #115.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #124.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #209.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #212.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #300.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #153.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #70.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #178.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #9.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #48.,urgente
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #156.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #16.,normal
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #273.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #100.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #143.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #245.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #285.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #248.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #15.,urgente
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #289.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #262.,normal
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #168.,urgente
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #265.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #101.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #227.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #169.,normal
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #195.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #45.,urgente
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #97.,normal
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #255.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #239.,atencao
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #107.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #182.,atencao
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #167.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #117.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #116.,atencao
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #170.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #238.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #252.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #129.,urgente
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #6.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #4.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #19.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #26.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #221.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #247.,normal
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #31.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #139.,normal
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #43.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #259.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #82.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #197.,atencao
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #194.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #205.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #196.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #22.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #191.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #243.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #152.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #113.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #298.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #201.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #261.,urgente
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #291.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #84.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #78.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #75.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #56.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #244.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #37.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #256.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #137.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #119.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #122.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #218.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #73.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #199.,normal
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #23.,atencao
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #96.,urgente
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #87.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #141.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #125.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #202.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #25.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #17.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #237.,urgente
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #211.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #292.,normal
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #174.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #228.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #253.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #185.,atencao
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #193.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #246.,urgente
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #77.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #32.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #270.,urgente
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #157.,normal
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #240.,urgente
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #210.,urgente
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #206.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #51.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #294.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #282.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #257.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #236.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #66.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #49.,normal
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #99.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #267.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #160.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #148.,normal
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #269.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #89.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #112.,normal
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #274.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #250.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #230.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #149.,atencao
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #186.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #67.,normal
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #30.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #8.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #165.,urgente
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #138.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #166.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #131.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #183.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #231.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #18.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #72.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #85.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #103.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #50.,atencao
